date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:17:50	393/393	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Nov%202021%2005:17:48%20GMT	https://demo.goodlayers.com/robots.txt		(from )
00:17:50	116675/116675	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Nov%202021%2022:30:22%20GMT	https://demo.goodlayers.com/kingster/apply-to-kingster/	C:/Users/kamp_/Desktop/campus/campus/demo.goodlayers.com/kingster/apply-to-kingster/index.html	(from )
00:17:51	286750/286750	---M-Z	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/qhfkg17u/8bqjh.css	C:/Users/kamp_/Desktop/campus/campus/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/qhfkg17u/8bqjh.css	(from https://demo.goodlayers.com/kingster/apply-to-kingster/)
00:17:52	371585/371585	---M-Z	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/q53pcy59/8bqjh.css	C:/Users/kamp_/Desktop/campus/campus/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/q53pcy59/8bqjh.css	(from https://demo.goodlayers.com/kingster/apply-to-kingster/)
00:17:53	7021/7021	---M-Z	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/2cwwm6ax/8bqjh.css	C:/Users/kamp_/Desktop/campus/campus/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/2cwwm6ax/8bqjh.css	(from https://demo.goodlayers.com/kingster/apply-to-kingster/)
00:17:53	64202/64202	---M-Z	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/e1phtqpt/8bqjh.css	C:/Users/kamp_/Desktop/campus/campus/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/e1phtqpt/8bqjh.css	(from https://demo.goodlayers.com/kingster/apply-to-kingster/)
00:17:53	203068/203068	---M-Z	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/ko14bs0g/8bqjh.css	C:/Users/kamp_/Desktop/campus/campus/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/ko14bs0g/8bqjh.css	(from https://demo.goodlayers.com/kingster/apply-to-kingster/)
00:17:55	5175/5175	---M-Z	200	added ('OK')	application/javascript	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/mna03qls/8bqjh.js	C:/Users/kamp_/Desktop/campus/campus/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/mna03qls/8bqjh.js	(from https://demo.goodlayers.com/kingster/apply-to-kingster/)
00:17:55	1558/1558	---M-Z	200	added ('OK')	application/javascript	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/lwklx7k3/8bqjh.js	C:/Users/kamp_/Desktop/campus/campus/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/wpfc-minified/lwklx7k3/8bqjh.js	(from https://demo.goodlayers.com/kingster/apply-to-kingster/)
00:17:56	5777/5777	---M--	200	added ('OK')	image/png	etag:%221613728071%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/themes/kingster/images/logo.png	C:/Users/kamp_/Desktop/campus/campus/a6e8z9v6.stackpathcdn.com/kingster/wp-content/themes/kingster/images/logo.png	(from https://demo.goodlayers.com/kingster/apply-to-kingster/)
